Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::Association<vector<reco::DeDxHitInfo> >    "isolatedTracks"            ""                "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "slimmedMuons"              ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "slimmedMuons"              ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEBRecHits"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEERecHits"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedESRecHits"   "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedEgamma"             "reducedHBHEHits"   "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
edm::ValueMap<float>                  "offlineSlimmedPrimaryVertices"   ""                "RECO"    
edm::ValueMap<pat::HcalDepthEnergyFractions>    "packedPFCandidates"        "hcalDepthEnergyFractions"   "RECO"    
vector<pat::Electron>                 "slimmedElectrons"          ""                "RECO"    
vector<pat::IsolatedTrack>            "isolatedTracks"            ""                "RECO"    
vector<pat::Muon>                     "slimmedMuons"              ""                "RECO"    
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "RECO"    
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "RECO"    
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "RECO"    
vector<reco::DeDxHitInfo>             "isolatedTracks"            ""                "RECO"    
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "RECO"    
vector<reco::GsfTrack>                "reducedEgamma"             "reducedGsfTracks"   "RECO"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "RECO"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "RECO"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedOOTSuperClusters"   "RECO"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "RECO"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "RECO"    
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
BXVector<GlobalAlgBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<GlobalAlgBlk>                "hltGtStage2ObjectMap"      ""                "MYHLT"   
BXVector<GlobalExtBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma2"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma3"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma4"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma5"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma6"         "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum2"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum3"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum4"          "MYHLT"   
