#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
317527:6763,06/06/18 22:52:12,1447,HLT_Mu30_TkMu0_Psi_v1,0.466677521,0.452099029
317591:6768,06/08/18 07:07:54,292,HLT_Mu30_TkMu0_Psi_v1,0.115251802,0.111116517
317626:6770,06/08/18 20:45:30,2006,HLT_Mu30_TkMu0_Psi_v1,0.546495591,0.528939540
317640:6772,06/09/18 13:47:48,801,HLT_Mu30_TkMu0_Psi_v1,0.271611233,0.261179265
317641:6772,06/09/18 19:02:09,1390,HLT_Mu30_TkMu0_Psi_v1,0.276436218,0.268315019
317648:6773,06/10/18 06:27:56,95,HLT_Mu30_TkMu0_Psi_v1,0.037465896,0.033881916
317649:6773,06/10/18 07:08:12,621,HLT_Mu30_TkMu0_Psi_v1,0.200450209,0.193211576
317650:6773,06/10/18 11:10:27,1304,HLT_Mu30_TkMu0_Psi_v1,0.264311478,0.255996426
317661:6774,06/10/18 21:56:59,1222,HLT_Mu30_TkMu0_Psi_v1,0.387535047,0.375651112
317663:6774,06/11/18 06:27:15,858,HLT_Mu30_TkMu0_Psi_v1,0.157242875,0.153301355
317683:6776,06/11/18 16:18:33,320,HLT_Mu30_TkMu0_Psi_v1,0.122368155,0.117851782
317696:6778,06/12/18 00:00:42,645,HLT_Mu30_TkMu0_Psi_v1,0.237876176,0.228786857
318733:6850,06/26/18 22:28:18,33,HLT_Mu30_TkMu0_Psi_v1,0.002986044,0.002792197
318828:6858,06/28/18 06:30:24,70,HLT_Mu30_TkMu0_Psi_v1,0.013680177,0.013229261
318872:6860,06/28/18 15:50:31,272,HLT_Mu30_TkMu0_Psi_v1,0.095225963,0.091854514
318874:6860,06/28/18 17:39:38,320,HLT_Mu30_TkMu0_Psi_v1,0.104220627,0.099565217
318876:6860,06/28/18 19:45:23,161,HLT_Mu30_TkMu0_Psi_v1,0.049033569,0.046587025
318877:6860,06/28/18 20:49:22,615,HLT_Mu30_TkMu0_Psi_v1,0.165061387,0.160548836
319077:6874,07/01/18 23:27:46,41,HLT_Mu30_TkMu0_Psi_v1,0.016847099,0.016371875
319337:6901,07/08/18 02:05:51,2193,HLT_Mu30_TkMu0_Psi_v1,0.237348102,0.232388818
319347:6904,07/08/18 19:53:18,651,HLT_Mu30_TkMu0_Psi_v1,0.229076515,0.210856031
319348:6904,07/09/18 00:07:18,37,HLT_Mu30_TkMu0_Psi_v1,0.010960648,0.005006475
319349:6904,07/09/18 00:23:34,148,HLT_Mu30_TkMu0_Psi_v1,0.041965227,0.040843828
319449:6909,07/09/18 20:59:32,698,HLT_Mu30_TkMu0_Psi_v1,0.259586491,0.249173726
319450:6909,07/10/18 01:32:44,681,HLT_Mu30_TkMu0_Psi_v1,0.212504803,0.207045612
319456:6909,07/10/18 07:08:40,209,HLT_Mu30_TkMu0_Psi_v1,0.054018897,0.052015625
319459:6909,07/10/18 08:32:35,78,HLT_Mu30_TkMu0_Psi_v1,0.017641441,0.017212101
319486:6911,07/11/18 09:10:21,66,HLT_Mu30_TkMu0_Psi_v1,0.021061388,0.020314797
319503:6911,07/11/18 17:30:46,317,HLT_Mu30_TkMu0_Psi_v1,0.094813078,0.090959188
319524:6912,07/11/18 22:27:29,1424,HLT_Mu30_TkMu0_Psi_v1,0.470771755,0.456701499
319526:6912,07/12/18 08:14:19,282,HLT_Mu30_TkMu0_Psi_v1,0.071759686,0.069659575
319528:6912,07/12/18 10:12:58,254,HLT_Mu30_TkMu0_Psi_v1,0.059799445,0.058410906
319579:6919,07/13/18 04:43:17,3128,HLT_Mu30_TkMu0_Psi_v1,0.842700420,0.818490479
319625:6921,07/14/18 14:05:51,190,HLT_Mu30_TkMu0_Psi_v1,0.072958182,0.070596043
319639:6923,07/14/18 18:52:13,1479,HLT_Mu30_TkMu0_Psi_v1,0.423548196,0.409340341
319656:6924,07/15/18 07:26:01,256,HLT_Mu30_TkMu0_Psi_v1,0.091266968,0.086471826
319657:6924,07/15/18 09:09:07,167,HLT_Mu30_TkMu0_Psi_v1,0.053752827,0.051824096
319658:6924,07/15/18 10:17:14,222,HLT_Mu30_TkMu0_Psi_v1,0.063914335,0.061716393
319659:6924,07/15/18 11:50:26,87,HLT_Mu30_TkMu0_Psi_v1,0.022608350,0.021787667
319678:6925,07/15/18 15:20:13,259,HLT_Mu30_TkMu0_Psi_v1,0.099052349,0.095424824
319687:6927,07/15/18 22:28:04,45,HLT_Mu30_TkMu0_Psi_v1,0.016486816,0.016052913
319697:6929,07/16/18 02:17:40,437,HLT_Mu30_TkMu0_Psi_v1,0.062852753,0.060561287
319698:6929,07/16/18 05:13:10,312,HLT_Mu30_TkMu0_Psi_v1,0.037203705,0.036295265
319756:6931,07/16/18 15:39:04,1923,HLT_Mu30_TkMu0_Psi_v1,0.507084360,0.490204543
319840:6939,07/17/18 22:27:53,348,HLT_Mu30_TkMu0_Psi_v1,0.051262088,0.049718970
319841:6939,07/18/18 00:44:33,167,HLT_Mu30_TkMu0_Psi_v1,0.020840269,0.020280330
319847:6940,07/18/18 04:02:30,3,HLT_Mu30_TkMu0_Psi_v1,0.001330127,0.000903537
319848:6940,07/18/18 04:04:45,53,HLT_Mu30_TkMu0_Psi_v1,0.019928545,0.019081513
319849:6940,07/18/18 04:28:02,492,HLT_Mu30_TkMu0_Psi_v1,0.180217181,0.173552091
319851:6940,07/18/18 07:46:30,4,HLT_Mu30_TkMu0_Psi_v1,0.001250205,0.001137038
319853:6940,07/18/18 08:01:32,256,HLT_Mu30_TkMu0_Psi_v1,0.073307576,0.071203488
319854:6940,07/18/18 09:44:34,225,HLT_Mu30_TkMu0_Psi_v1,0.055235129,0.053716327
319908:6942,07/19/18 02:40:13,51,HLT_Mu30_TkMu0_Psi_v1,0.019578670,0.018295828
319909:6942,07/19/18 03:03:13,7,HLT_Mu30_TkMu0_Psi_v1,0.002745400,0.001120242
319910:6942,07/19/18 03:09:20,983,HLT_Mu30_TkMu0_Psi_v1,0.315473757,0.304865167
319912:6942,07/19/18 09:34:18,59,HLT_Mu30_TkMu0_Psi_v1,0.014171175,0.013437223
319913:6942,07/19/18 09:59:24,56,HLT_Mu30_TkMu0_Psi_v1,0.013018604,0.012566235
319914:6942,07/19/18 10:22:49,32,HLT_Mu30_TkMu0_Psi_v1,0.007252517,0.006879860
319915:6942,07/19/18 10:37:23,416,HLT_Mu30_TkMu0_Psi_v1,0.088940054,0.086802323
319941:6944,07/19/18 19:59:35,256,HLT_Mu30_TkMu0_Psi_v1,0.099020301,0.094417188
319942:6944,07/19/18 21:41:30,50,HLT_Mu30_TkMu0_Psi_v1,0.017942823,0.017468906
319950:6946,07/20/18 02:45:30,168,HLT_Mu30_TkMu0_Psi_v1,0.067839945,0.065935971
319991:6953,07/20/18 15:48:51,837,HLT_Mu30_TkMu0_Psi_v1,0.292529663,0.282111415
319992:6953,07/20/18 21:15:39,264,HLT_Mu30_TkMu0_Psi_v1,0.068314275,0.065586502
319993:6953,07/20/18 23:01:06,955,HLT_Mu30_TkMu0_Psi_v1,0.187746874,0.182675815
320002:6956,07/21/18 08:17:32,141,HLT_Mu30_TkMu0_Psi_v1,0.052523216,0.050203468
320006:6956,07/21/18 09:46:32,340,HLT_Mu30_TkMu0_Psi_v1,0.117879419,0.114140140
320010:6956,07/21/18 14:27:42,330,HLT_Mu30_TkMu0_Psi_v1,0.076664085,0.074676692
320011:6956,07/21/18 16:38:02,302,HLT_Mu30_TkMu0_Psi_v1,0.063113218,0.061138036
320012:6956,07/21/18 18:38:20,99,HLT_Mu30_TkMu0_Psi_v1,0.018711964,0.018060690
320023:6957,07/21/18 21:33:03,276,HLT_Mu30_TkMu0_Psi_v1,0.103950025,0.098834607
320024:6957,07/21/18 23:21:36,410,HLT_Mu30_TkMu0_Psi_v1,0.130440803,0.126440979
320025:6957,07/22/18 02:03:20,113,HLT_Mu30_TkMu0_Psi_v1,0.031215788,0.030113234
320026:6957,07/22/18 02:49:54,204,HLT_Mu30_TkMu0_Psi_v1,0.051564606,0.050085703
320038:6960,07/22/18 07:09:04,621,HLT_Mu30_TkMu0_Psi_v1,0.227408676,0.218712390
320039:6960,07/22/18 11:13:45,30,HLT_Mu30_TkMu0_Psi_v1,0.009142264,0.008200272
320040:6960,07/22/18 11:29:06,737,HLT_Mu30_TkMu0_Psi_v1,0.183359086,0.177428533
320059:6961,07/22/18 18:43:23,105,HLT_Mu30_TkMu0_Psi_v1,0.043615700,0.040908654
320060:6961,07/22/18 19:27:05,42,HLT_Mu30_TkMu0_Psi_v1,0.016524473,0.015725006
320061:6961,07/22/18 19:46:28,49,HLT_Mu30_TkMu0_Psi_v1,0.019093724,0.018270053
320062:6961,07/22/18 20:06:50,21,HLT_Mu30_TkMu0_Psi_v1,0.008000755,0.006956471
320063:6961,07/22/18 20:17:40,64,HLT_Mu30_TkMu0_Psi_v1,0.023691153,0.022166104
320064:6961,07/22/18 20:48:07,200,HLT_Mu30_TkMu0_Psi_v1,0.068380638,0.064866603
320065:6961,07/22/18 22:09:30,920,HLT_Mu30_TkMu0_Psi_v1,0.234981096,0.227086186
320673:7005,08/01/18 02:33:01,867,HLT_Mu30_TkMu0_Psi_v1,0.065886258,0.064592146
320674:7005,08/01/18 08:11:46,599,HLT_Mu30_TkMu0_Psi_v1,0.034307292,0.033749177
320688:7006,08/01/18 15:24:06,483,HLT_Mu30_TkMu0_Psi_v1,0.135321679,0.130855199
320712:7008,08/02/18 02:45:01,204,HLT_Mu30_TkMu0_Psi_v1,0.071961247,0.069579800
320757:7013,08/02/18 14:37:56,332,HLT_Mu30_TkMu0_Psi_v1,0.120886198,0.116683595
320804:7017,08/03/18 07:27:51,1229,HLT_Mu30_TkMu0_Psi_v1,0.330955853,0.319033307
320807:7017,08/03/18 15:28:46,7,HLT_Mu30_TkMu0_Psi_v1,0.001319980,0.000348408
320809:7017,08/03/18 15:43:13,716,HLT_Mu30_TkMu0_Psi_v1,0.109016947,0.106230704
320821:7018,08/03/18 23:57:32,181,HLT_Mu30_TkMu0_Psi_v1,0.062971560,0.060432928
320822:7018,08/04/18 01:09:16,523,HLT_Mu30_TkMu0_Psi_v1,0.155022448,0.149814403
320823:7018,08/04/18 04:34:31,360,HLT_Mu30_TkMu0_Psi_v1,0.082833311,0.080025310
320824:7018,08/04/18 06:55:49,1051,HLT_Mu30_TkMu0_Psi_v1,0.168366394,0.164020053
320838:7020,08/04/18 17:31:12,265,HLT_Mu30_TkMu0_Psi_v1,0.096928421,0.092366066
320840:7020,08/04/18 19:20:14,471,HLT_Mu30_TkMu0_Psi_v1,0.146842730,0.141043050
320841:7020,08/04/18 22:26:03,205,HLT_Mu30_TkMu0_Psi_v1,0.052347637,0.050468155
320853:7024,08/05/18 06:48:20,329,HLT_Mu30_TkMu0_Psi_v1,0.122363483,0.118065454
